HostName;Description;Severity;Status;Occurrence_Time
m4sdp26a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:59
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:59
m11air2;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:58
Zabbix server;More than 100 items having missing data for more than 10 minutes;WARNING;OK;07/01/2020 23:57
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:57
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:57
m11air2;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:55
rc51e00vm016d;Query is being executed for more than 15 minutes;HIGH;PROBLEM;07/01/2020 23:55
m11air2;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:55
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:55
dc1occ05;Not Possible To Establish Connection on {HOST.HOST};WARNING;OK;07/01/2020 23:54
dc1occ06;Not Possible To Establish Connection on {HOST.HOST};WARNING;OK;07/01/2020 23:54
dc2occ07;Not Possible To Establish Connection on {HOST.HOST};WARNING;OK;07/01/2020 23:54
dc2occ08;Not Possible To Establish Connection on {HOST.HOST};WARNING;OK;07/01/2020 23:54
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:54
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:54
ALG-S2-L-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S1-L-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S1-T-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S1-T-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S1-L-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S1-T-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S1-T-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
ALG-S2-L-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:54
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:52
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:52
m8sdp23a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:52
m8sdp23a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:51
zabbix-proxy-algeria-node1;Zabbix data sender processes more than 75% busy;AVERAGE;OK;07/01/2020 23:51
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:51
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:51
zabbix-proxy-algeria-node2;Zabbix data sender processes more than 75% busy;AVERAGE;OK;07/01/2020 23:50
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:50
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:49
ALG-S2-L-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
ALG-S1-L-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
ALG-S1-T-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
ALG-S1-T-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
m9air9;SystemResources:CPU Context switches per second are high on {HOST.HOST};WARNING;OK;07/01/2020 23:48
m11sdp21a;Error renaming remote file on {HOST.HOST};AVERAGE;OK;07/01/2020 23:48
ALG-S1-L-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
ALG-S1-T-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
ALG-S1-T-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
ALG-S2-L-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
dzalb01a2;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
dzalb01a1;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
dzalb01a1;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
dzalb01a2;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:48
Zabbix server;More than 100 items having missing data for more than 10 minutes;WARNING;OK;07/01/2020 23:47
m9air9;SystemResources:CPU Context switches per second are high on {HOST.HOST};WARNING;OK;07/01/2020 23:47
m11sdp21a;Generic error during ftp on {HOST.HOST};AVERAGE;OK;07/01/2020 23:47
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:47
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:47
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:47
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:47
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:45
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:45
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:45
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:44
djezzy-dc1-mm-esa;An error occurred in a BGwProcessor process on {HOST.HOST};AVERAGE;OK;07/01/2020 23:44
djezzy-dc1-FE-Server7;An error occurred in a BGwProcessor process on {HOST.HOST};AVERAGE;OK;07/01/2020 23:44
rc51e00vm016d;Query is being executed for more than 15 minutes;HIGH;PROBLEM;07/01/2020 23:43
rc51e00vm001a;[p]Service Availability of EBill;DISASTER;OK;07/01/2020 23:42
rc51e00vm001a;[p]Ebill: HTTP Connection time from Web Front to Web App 10.96.2.10 is high;DISASTER;OK;07/01/2020 23:42
rc51e00vm018b;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:42
rc51e00vm001a;[p]Service Availability of EBill;DISASTER;OK;07/01/2020 23:42
rc51e00vm001a;[p]Ebill: HTTP Connection time from Web Front to Web App 10.96.2.10 is high;DISASTER;OK;07/01/2020 23:42
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:42
rc51e00vm011b;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:41
m11air1;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:41
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:41
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:41
rc51e00vm011g;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:40
rc51e00vm018b;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:40
m4sdp26a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:40
m4sdp26a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:40
rc51e00vm011b;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:39
rc51e00h002a;InvFmt 10.96.2.107 TCP Connectivity port 80 Availability;AVERAGE;OK;07/01/2020 23:39
rc51e00vm003f;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:39
rc51e00h001f;InvFmt 10.96.2.113 TCP Connectivity port 80 Availability;AVERAGE;OK;07/01/2020 23:39
rc51e00vm003q;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:39
rc51e00vm003bb;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:39
rc51e00vm007h;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm007g;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm003bb;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:39
rc51e00vm007d;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm011p;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm022;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm007c;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm011o;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm011i;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:39
rc51e00vm011n;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:39
rc51e00vm003g;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:39
rc51e00vm011g;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:39
rc51e00vm003r;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:38
rc51e00vm011m;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:38
rc51e00vm003cc;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:38
rc51e00vm003a;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:38
rc51e00vm011l;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:38
rc51e00vm011k;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:38
rc51e00vm001g;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:38
rc51e00vm001g;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001g;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm013;Free disk space is less than 20% on volume /apps;HIGH;OK;07/01/2020 23:38
rc51e00vm001f;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:38
rc51e00vm001f;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001f;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm011i;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:38
rc51e00vm001e;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:38
rc51e00vm001e;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
CCN07;"{{ITEM.VALUE}.regsub(""(SpecificProblem)=(.*)"",""\2"")} on {HOST.HOST}";WARNING;PROBLEM;07/01/2020 23:38
rc51e00vm001e;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001f;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001e;[p]CDT-admin: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001f;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001f;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001g;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:38
rc51e00vm011k;Message Queue 3 TCP availability;AVERAGE;OK;07/01/2020 23:38
rc51e00vm001f;[p]CDT-admin: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001g;[p]MBA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:38
rc51e00vm011m;Message Queue 3 TCP availability;AVERAGE;OK;07/01/2020 23:38
rc51e00vm001d;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.53;DISASTER;OK;07/01/2020 23:38
rc51e00vm001c;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001d;[p]MBA: HTTP service is down on MiddleWare FE 10.96.2.53;DISASTER;OK;07/01/2020 23:38
rc51e00vm001c;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:38
rc51e00vm001c;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001c;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:38
rc51e00vm001e;[p]MBA-admin: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:38
rc51e00vm001e;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:38
rc51e00vm001e;[p]MBA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]MBA-admin: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001e;[p]SDM-Viewer: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001a;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:37
rc51e00vm001a;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:37
